key.country_id,vertical_name,key.gender,key.age,value.bounces,value.visits,value.new_visitors,value.transactions
US,/Food & Drink,female,65+,15439377,35295968,11337460,202870
US,/Food & Drink,male,18-24,5325629,10678096,6025323,366306
US,/Food & Drink,male,25-34,21409236,47216709,20531409,4921229
US,/Food & Drink,male,35-44,6582684,14773511,7162233,645842
US,/Food & Drink,male,45-54,6482561,15130082,6685568,322329
US,/Food & Drink,male,55-64,5218228,11697209,5043268,156814
US,/Food & Drink,male,65+,4764890,10619706,3905343,142936
US,/Finance,female,18-24,11342594,26642688,12841124,186243
US,/Finance,female,25-34,21502343,53017941,21706325,342026
US,/Finance,female,35-44,14388113,35300193,14164301,355607
US,/Finance,female,45-54,10633453,25306573,9905369,411627
US,/Finance,female,55-64,11355389,26443804,10546242,345127
US,/Finance,female,65+,5957097,12125918,4925261,267646
US,/Finance,male,18-24,9480332,20974228,9939002,119904
US,/Finance,male,25-34,31058868,71658108,26144780,330900
US,/Finance,male,35-44,15288681,35444923,13426276,291324
US,/Finance,male,45-54,18091608,40041047,13163163,438235
US,/Finance,male,55-64,17460533,36334891,9795708,237514
US,/Finance,male,65+,16694402,32234361,6977199,245983
US,/Computers & Electronics,female,18-24,5195826,11393367,4664076,28891
US,/Computers & Electronics,female,25-34,5922062,12005521,4642936,37634
US,/Computers & Electronics,female,35-44,3230635,9136857,3215362,36330
US,/Computers & Electronics,female,45-54,1874993,4145324,1778816,26902
US,/Computers & Electronics,female,55-64,1618152,3425603,1707986,33897
US,/Computers & Electronics,female,65+,810864,1806590,925773,26111
US,/Computers & Electronics,male,18-24,17986099,35244154,13870624,55789
US,/Computers & Electronics,male,25-34,34535012,64918755,26992270,140549
US,/Computers & Electronics,male,35-44,19883126,39058239,15967663,105071
US,/Computers & Electronics,male,45-54,11410759,23207611,10473333,93562
US,/Computers & Electronics,male,55-64,4845506,10167341,4800372,57254
US,/Computers & Electronics,male,65+,2543951,5185704,2680428,47633
US,/Business & Industrial,female,18-24,3992259,8121519,5092030,43815
US,/Business & Industrial,female,25-34,9543739,20878456,9556483,170223
US,/Business & Industrial,female,35-44,4663345,9817244,4966875,119552
US,/Business & Industrial,female,45-54,3340548,7099979,3381653,70038
US,/Business & Industrial,female,55-64,3177829,6897788,3540988,80678
US,/Business & Industrial,female,65+,1287827,2681046,1452350,45028
US,/Business & Industrial,male,18-24,3204332,6910782,4469915,29674
US,/Business & Industrial,male,25-34,11746368,26127304,14022151,170839
US,/Business & Industrial,male,35-44,6509805,14694081,7520669,115195
US,/Business & Industrial,male,45-54,7474730,17297093,8328037,144201
US,/Business & Industrial,male,55-64,5140121,12239711,5947745,115985
US,/Business & Industrial,male,65+,2914942,6243838,3242981,74351
US,/Books & Literature,female,18-24,9266619,30502166,10818738,52065
US,/Books & Literature,female,25-34,1824688,3734866,1806733,32203
US,/Books & Literature,female,35-44,1649361,3840418,1743090,21111
US,/Books & Literature,female,45-54,777919,1928622,817767,14087
US,/Books & Literature,female,55-64,516947,1199650,573492,19553
US,/Books & Literature,female,65+,278080,704983,314124,20885
US,/Books & Literature,male,18-24,4257500,14410024,5997236,21583
US,/Books & Literature,male,25-34,1355701,2850628,1410496,25718
US,/Books & Literature,male,35-44,809474,1909827,609814,12570
US,/Books & Literature,male,45-54,423852,1015645,414632,9892
US,/Books & Literature,male,55-64,211215,495358,227657,10418
US,/Books & Literature,male,65+,231196,566525,216863,13333
US,/Beauty & Fitness,female,18-24,19862506,45353505,17235497,242863
US,/Beauty & Fitness,female,25-34,30274481,73875891,22642001,298277
US,/Beauty & Fitness,female,35-44,8803279,19299665,8063886,97489
US,/Beauty & Fitness,female,45-54,4169154,10135008,4236937,53974
US,/Beauty & Fitness,female,55-64,3596438,8674139,4300356,54224
US,/Beauty & Fitness,female,65+,1484870,3787022,1873298,24480
US,/Beauty & Fitness,male,18-24,3663462,7380670,3393499,22863
US,/Beauty & Fitness,male,25-34,8463139,18244221,7760709,54826
US,/Beauty & Fitness,male,35-44,2761261,6579811,2760041,24601
US,/Beauty & Fitness,male,45-54,2864378,7874799,2175520,19409
US,/Beauty & Fitness,male,55-64,1417544,3611031,1313999,11252
US,/Beauty & Fitness,male,65+,771599,1929998,790002,8319
US,/Autos & Vehicles,female,18-24,2951432,7246260,4362968,50288
US,/Autos & Vehicles,female,25-34,4226690,10183045,5879605,35459
US,/Autos & Vehicles,female,35-44,2932429,7429155,4309302,29561
US,/Autos & Vehicles,female,45-54,1875522,5045340,2835980,15528
US,/Autos & Vehicles,female,55-64,1948915,5242822,2907410,12697
US,/Autos & Vehicles,female,65+,1042482,2738277,1433558,4959
US,/Autos & Vehicles,male,18-24,12745631,29678521,12853363,100657
US,/Autos & Vehicles,male,25-34,38128787,86927134,32265000,180996
US,/Autos & Vehicles,male,35-44,19467256,46694460,18729598,124805
US,/Autos & Vehicles,male,45-54,17522358,44947564,17524659,122706
US,/Autos & Vehicles,male,55-64,11401497,29937653,11316458,72623
US,/Autos & Vehicles,male,65+,6353027,16317370,5825519,33761
US,/Arts & Entertainment,female,18-24,103612766,234537291,98455337,384939
US,/Arts & Entertainment,female,25-34,173185608,339061412,120163190,259255
US,/Arts & Entertainment,female,35-44,64180830,127651807,51654820,81396
US,/Arts & Entertainment,female,45-54,39535625,79329820,34408252,52357
US,/Arts & Entertainment,female,55-64,36018718,73288021,32852002,70137
US,/Arts & Entertainment,female,65+,17372053,36324071,14829899,56488
US,/Arts & Entertainment,male,18-24,103360540,223213222,91464787,967582
US,/Arts & Entertainment,male,25-34,257680375,498994887,166555119,503974
US,/Arts & Entertainment,male,35-44,78785011,156746823,55391128,157583
US,/Arts & Entertainment,male,45-54,54905055,110955954,42392127,90135
US,/Arts & Entertainment,male,55-64,36405940,74232303,25709460,63386
US,/Arts & Entertainment,male,65+,24874411,50117458,16043714,43695
US,/<none>,female,18-24,20596008,42778408,28787997,69598
US,/<none>,female,25-34,36224124,63042099,35704746,143043
US,/<none>,female,35-44,20327205,35496543,19747039,121109
US,/<none>,female,45-54,14124173,26018375,14042640,133813
US,/<none>,female,55-64,14446884,26935869,14987076,187526
US,/<none>,female,65+,8603155,15557105,8107557,110757
US,/<none>,male,18-24,14198810,46045556,30330203,26054
US,/<none>,male,25-34,26665921,93778408,69221791,82803
US,/<none>,male,35-44,10234559,25694227,15829609,57524
US,/<none>,male,45-54,10002739,25177404,15026511,86699
US,/<none>,male,55-64,7399196,17595569,10417361,81706
US,/<none>,male,65+,6862740,15564600,9218700,81141
